store_name,department,category,item,description,qty_sold,sold_price,total_sales
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719992479,Gran Turismo 6 PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,883929323371,Injustice Gods Among Us UL PS4,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220268,Uncharted Golden Abyss PSV,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO Wii,14633152715,NFS Carbon  - Wii,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO Wii,14633195910,NFS The Run Wii,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,711719053293,Minecraft PS4,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256014711,Rainbow Six PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,711719053293,Minecraft PS4,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256015084,Assassins Creed Syndicate- PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256014711,Rainbow Six PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719982814,Jak & Daxter Col FAV PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719052722,Silent Hill HD Col FAV PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719053057,Dead or Alive 5 Ulti FAV PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719053033,Ninja Gaiden 3  PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888347484,Just Dance 4 PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719825722,Uncharted 2 (G.O.T.Y) - PS3,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719817727,Sport Champions PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,14633196436,SSX PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220602,Allstars Battle Royale PSVITA,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719051589,The wolf Amongus PSVITA ,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220602,Allstars Battle Royale PSVITA,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220602,Allstars Battle Royale PSVITA,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PS VITA,883929319664,Batman Arkham Origins PSVITA,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719221241,Tearaway PSVITA,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,711719100447,The Order 1886 PS4,1,39.99,39.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719432500,PSN $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,47875846371,The Amazing Spiderman Wiiu,1,39.99,39.99
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725027506,Disney infinity 3.0 Dark V Lig,1,19.99,19.99
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725023768,Disney infinity power disc pac,1,1.0,1.0
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725025700,Disney infinity 2.0 Hulk,1,19.99,19.99
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725026332,Disney infinity 2.0 Falcon ,1,19.99,19.99
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725023768,Disney infinity power disc pac,1,1.0,1.0
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725023829,Disney infinity Violet ,1,9.99,9.99
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725023768,Disney infinity power disc pac,1,1.0,1.0
ALBROOK MALL,ACCESORIO,TOYS 2 LIFE,712725027285,Disney infinity 3.0 Power Disc,1,9.99,9.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,83717301806,Metal Gear Solid V X360,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,722674210423,Body & Brain Connection - XBOX,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,8888528746,Assassins Creed Revelation X3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,883929408191,Shadow of Mordor Xbox 360,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929474189,Lego marvel avengers 3DS,-1,39.99,-39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,662248916576,Final fantasy Explorers 3DS ,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929474189,Lego marvel avengers 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,722674700641,Project X Zone 2 3DS ,1,49.99,49.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366086444,Google Play $15,1,19.99,19.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366086444,Google Play $15,1,19.99,19.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366114901,Nintendo eShop $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366114901,Nintendo eShop $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366086444,Google Play $15,2,19.99,39.98
ALBROOK MALL,ACCESORIO,TARJETAS,799366104667,Nintendo eShop $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719432500,PSN $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719432500,PSN $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366114901,Nintendo eShop $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,2,29.99,59.98
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366086444,Google Play $15,2,19.99,39.98
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,76750020322,iTunes $25,1,26.99,26.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,722674700641,Project X Zone 2 3DS ,1,49.99,49.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719432500,PSN $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,2,29.99,59.98
ALBROOK MALL,ACCESORIO,TARJETAS,799366114901,Nintendo eShop $10,1,15.99,15.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366104667,Nintendo eShop $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719432500,PSN $10,2,15.99,31.98
ALBROOK MALL,ACCESORIO,TARJETAS,799366104667,Nintendo eShop $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,1,69.99,69.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,711719478102,PSN $20,1,29.99,29.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,3,69.99,209.97
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,883929474066,Lego marvel avengers Wiiu,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,883929474066,Lego marvel avengers Wiiu,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875846777,COD Ghost PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888345343,Assassin's Creed 2 - PS3,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875846777,COD Ghost PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,710425476808,WWE 2k16 -PS3,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,710425476808,WWE 2k16 -PS3,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,83717302094,PES 16 XONE,1,34.99,34.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,722674220248,Naruto Shippuden UNS4 XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,883929426539,Mortal Kombat X XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,722674220248,Naruto Shippuden UNS4 XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,722674220248,Naruto Shippuden UNS4 XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,722674220248,Naruto Shippuden UNS4 XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,14633194661,Madden NFL 3DS,1,9.99,9.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,815403010811,Barbie Puppy rescue 3ds,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929326945,Lego Chima  3DS,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929326945,Lego Chima  3DS,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,XBOX 360,710425491504,Spec Ops The  Line XBOX 360,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,83717302131,PES 16- XBOX 360,1,24.99,24.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,83717302131,PES 16- XBOX 360,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,83717302131,PES 16- XBOX 360,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,710425496462,NBA 2K16  XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,887256014728,Rainbow Six XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,662248915852,Just Cause 3 XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,885370982299,Tomb Raider Rise of XB1,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,887256015091,Assassins Creed Syndicate XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,14633369472,NFS XONE,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,83717301912,Metal GearSolidVGrund Z - XONE,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,XBOX ONE,13388550135,Resident Evil Origins Col XONE,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929474189,Lego marvel avengers 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888346784,Splinter Cell Trilogy PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,14633735444,Fifa 16 PS3,1,59.99,59.99
