store_name,department,category,item,description,qty_sold,sold_price,total_sales
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
 GM EL TIGRE,No data,No data,No data,No data,797,,47100.76
GM EL TIGRE,AUDIFONOS,BEATS,848447005437,Beats Mixr Azul ,1,224.99,224.99
GM EL TIGRE,AUDIFONOS,BEATS,848447007264,Beats Studio II Azul,1,269.99,269.99
GM EL TIGRE,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
GM EL TIGRE,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
GM EL TIGRE,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
GM EL TIGRE,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
GM EL TIGRE,CONSOLAS,XBOX ONE,885370891263,Xbox One HALO 500 GB,1,429.99,429.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
GM EL TIGRE,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
GM EL TIGRE,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
GM EL TIGRE,CONSOLAS,XBOX ONE,885370982343,Xbox One Gear Of War 500 GB,1,429.99,429.99
GM EL TIGRE,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
GM EL TIGRE,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874565,COD BLACK OPS III PS3,-1,59.99,-59.99
GM EL TIGRE,VIDEO JUEGO,PLAYSTATION 4- PS4,710425475290,GTA V PS4,-1,69.99,-69.99
GM EL TIGRE,CONSOLAS,XBOX360,885370862737,Xbox 360 500 GB C.O.D Ghost-BL,1,269.99,269.99
GM EL TIGRE,CONSOLAS,XBOX360,885370862737,Xbox 360 500 GB C.O.D Ghost-BL,1,269.99,269.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,400.0,400.0
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719501985,PS4 Star Wars Bundle,1,549.99,549.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719501862,PS4 Destiny Taken King Bundle,1,549.99,549.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL TIGRE,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
 GM MULTI PLAZA,No data,No data,No data,No data,240,,12223.6
GM MULTI PLAZA,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,229.99,229.99
GM MULTI PLAZA,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,229.99,229.99
GM MULTI PLAZA,VIDEO JUEGO,NINTENDO Wii,887256014599,Just Dance 2016- Wii,-1,49.99,-49.99
GM MULTI PLAZA,CONSOLAS,XBOX360,885370862737,Xbox 360 500 GB C.O.D Ghost-BL,1,269.99,269.99
GM MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,-1,399.99,-399.99
GM MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
 METRO MALL,No data,No data,No data,No data,976,,52402.88
METRO MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719990819,PS3 Ultraslim 500 GB,1,299.99,299.99
METRO MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
METRO MALL,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
METRO MALL,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
METRO MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
METRO MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
METRO MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
METRO MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719992097,PS3 Ultraslim 250 GB,1,279.99,279.99
METRO MALL,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,229.99,229.99
METRO MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
METRO MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
METRO MALL,CONSOLAS,NINTENDO 3DS,45496781514,NINTENDO NEW 3DSXL BLACK,1,249.99,249.99
METRO MALL,VIDEO JUEGO,NINTENDO Wii,887256014599,Just Dance 2016- Wii,-1,49.99,-49.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
